x y yerr
12.256 268.378 8.069
16.140 383.100 6.590
18.307 635.588 9.856
15.667 349.258 7.883
14.895 382.225 6.710
15.727 435.785 8.771
8.725 131.647 8.383
9.008 120.841 6.231
10.493 144.397 7.953
14.292 287.589 8.500
2.675 11.984 5.947
15.930 423.585 7.443
17.028 665.867 6.169
16.751 415.133 5.075
18.656 630.537 9.412
8.112 88.014 6.690
15.292 461.290 6.916
4.265 39.231 9.023
19.732 942.521 8.806
14.305 314.305 8.451
5.160 11.121 5.145
4.794 33.755 7.013
13.220 212.051 7.120
7.807 78.745 6.779
8.138 105.148 9.974
14.065 346.489 5.290
16.025 487.639 8.035
6.270 43.810 8.686
11.711 252.741 8.844
6.462 82.776 7.502
9.653 188.198 6.790
12.632 230.743 8.452
1.054 5.009 9.326
6.874 63.599 5.679
7.050 93.249 8.950
11.648 176.323 9.374
8.069 149.053 8.537
10.205 175.516 9.791
5.831 70.322 8.976
18.752 725.476 8.410
5.183 31.164 7.848
